 ix          r[AU] il       lam[mic]       tau_vert
  7  5.2303430E-02 17  2.5964377E+01  9.9506010E-01  dust
  7  5.2303430E-02 18  4.2233750E+01  7.2650702E-01  dust
  7  5.2303430E-02 19  8.6443439E+01  4.8866449E-01  dust
  7  5.2303430E-02 20  1.7710287E+02  3.3061198E-01  dust
  7  5.2303430E-02 21  3.6308087E+02  2.2238324E-01  dust
  7  5.2303430E-02 22  7.4469677E+02  1.4752947E-01  dust
  7  5.2303430E-02 23  1.5279094E+03  9.5193333E-02  dust
  7  5.2303430E-02 24  3.1355912E+03  5.8315639E-02  dust
  7  5.2303430E-02 25  6.4360319E+03  3.1134774E-02  dust
  8  5.2774782E-02  1  9.5842289E-02  1.1076122E+01  dust
  8  5.2774782E-02  2  1.0573550E-01  1.0871452E+01  dust
  8  5.2774782E-02  3  1.1812006E-01  1.0625627E+01  dust
  8  5.2774782E-02  4  1.3353968E-01  1.0356073E+01  dust
  8  5.2774782E-02  5  1.5097181E-01  1.0058692E+01  dust
  8  5.2774782E-02  6  1.7067955E-01  9.6198389E+00  dust
  8  5.2774782E-02  7  1.9296000E-01  9.1253161E+00  dust
  8  5.2774782E-02  8  3.0195156E-01  8.0486628E+00  dust
  8  5.2774782E-02  9  5.8874250E-01  6.4489406E+00  dust
  8  5.2774782E-02 10  1.2118621E+00  4.7175914E+00  dust
  8  5.2774782E-02 11  2.3303096E+00  3.3211285E+00  dust
  8  5.2774782E-02 12  4.3003104E+00  2.5685064E+00  dust
  8  5.2774782E-02 13  6.2450423E+00  2.0467622E+00  dust
  8  5.2774782E-02 14  8.8527200E+00  2.2145249E+00  dust
  8  5.2774782E-02 15  1.2668311E+01  1.9528777E+00  dust
  8  5.2774782E-02 16  1.8134220E+01  1.9130938E+00  dust
  8  5.2774782E-02 17  2.5964377E+01  1.7646074E+00  dust
  8  5.2774782E-02 18  4.2233750E+01  1.2884680E+00  dust
  8  5.2774782E-02 19  8.6443439E+01  8.6676491E-01  dust
  8  5.2774782E-02 20  1.7710287E+02  5.8649068E-01  dust
  8  5.2774782E-02 21  3.6308087E+02  3.9453443E-01  dust
  8  5.2774782E-02 22  7.4469677E+02  2.6175165E-01  dust
  8  5.2774782E-02 23  1.5279094E+03  1.6890197E-01  dust
  8  5.2774782E-02 24  3.1355912E+03  1.0347205E-01  dust
  8  5.2774782E-02 25  6.4360319E+03  5.5244405E-02  dust
  9  5.3279869E-02  1  9.5842289E-02  1.9638693E+01  dust
  9  5.3279869E-02  2  1.0573550E-01  1.9275525E+01  dust
  9  5.3279869E-02  3  1.1812006E-01  1.8839353E+01  dust
  9  5.3279869E-02  4  1.3353968E-01  1.8361090E+01  dust
  9  5.3279869E-02  5  1.5097181E-01  1.7833464E+01  dust
  9  5.3279869E-02  6  1.7067955E-01  1.7054907E+01  dust
  9  5.3279869E-02  7  1.9296000E-01  1.6177709E+01  dust
  9  5.3279869E-02  8  3.0195156E-01  1.4268078E+01  dust
  9  5.3279869E-02  9  5.8874250E-01  1.1430653E+01  dust
  9  5.3279869E-02 10  1.2118621E+00  8.3605724E+00  dust
  9  5.3279869E-02 11  2.3303096E+00  5.8851581E+00  dust
  9  5.3279869E-02 12  4.3003104E+00  4.5513865E+00  dust
  9  5.3279869E-02 13  6.2450423E+00  3.6269430E+00  dust
  9  5.3279869E-02 14  8.8527200E+00  3.9245282E+00  dust
  9  5.3279869E-02 15  1.2668311E+01  3.4607197E+00  dust
  9  5.3279869E-02 16  1.8134220E+01  3.3903459E+00  dust
  9  5.3279869E-02 17  2.5964377E+01  3.1271832E+00  dust
  9  5.3279869E-02 18  4.2233750E+01  2.2835295E+00  dust
  9  5.3279869E-02 19  8.6443439E+01  1.5363571E+00  dust
  9  5.3279869E-02 20  1.7710287E+02  1.0397120E+00  dust
  9  5.3279869E-02 21  3.6308087E+02  6.9950203E-01  dust
  9  5.3279869E-02 22  7.4469677E+02  4.6412216E-01  dust
  9  5.3279869E-02 23  1.5279094E+03  2.9950504E-01  dust
  9  5.3279869E-02 24  3.1355912E+03  1.8348857E-01  dust
  9  5.3279869E-02 25  6.4360319E+03  9.7967813E-02  dust
 10  5.3823494E-02  1  9.5842289E-02  3.4798651E+01  dust
 10  5.3823494E-02  2  1.0573550E-01  3.4154725E+01  dust
 10  5.3823494E-02  3  1.1812006E-01  3.3381386E+01  dust
 10  5.3823494E-02  4  1.3353968E-01  3.2533434E+01  dust
 10  5.3823494E-02  5  1.5097181E-01  3.1597973E+01  dust
 10  5.3823494E-02  6  1.7067955E-01  3.0217726E+01  dust
 10  5.3823494E-02  7  1.9296000E-01  2.8662768E+01  dust
 10  5.3823494E-02  8  3.0195156E-01  2.5277894E+01  dust
 10  5.3823494E-02  9  5.8874250E-01  2.0248393E+01  dust
 10  5.3823494E-02 10  1.2118621E+00  1.4807643E+01  dust
 10  5.3823494E-02 11  2.3303096E+00  1.0422029E+01  dust
 10  5.3823494E-02 12  4.3003104E+00  8.0596265E+00  dust
 10  5.3823494E-02 13  6.2450423E+00  6.4225927E+00  dust
 10  5.3823494E-02 14  8.8527200E+00  6.9502396E+00  dust
 10  5.3823494E-02 15  1.2668311E+01  6.1284813E+00  dust
 10  5.3823494E-02 16  1.8134220E+01  6.0041223E+00  dust
 10  5.3823494E-02 17  2.5964377E+01  5.5379499E+00  dust
 10  5.3823494E-02 18  4.2233750E+01  4.0440457E+00  dust
 10  5.3823494E-02 19  8.6443439E+01  2.7211430E+00  dust
 10  5.3823494E-02 20  1.7710287E+02  1.8417749E+00  dust
 10  5.3823494E-02 21  3.6308087E+02  1.2392937E+00  dust
 10  5.3823494E-02 22  7.4469677E+02  8.2237088E-01  dust
 10  5.3823494E-02 23  1.5279094E+03  5.3073322E-01  dust
 10  5.3823494E-02 24  3.1355912E+03  3.2516653E-01  dust
 10  5.3823494E-02 25  6.4360319E+03  1.7361811E-01  dust
 11  5.4411535E-02  1  9.5842289E-02  6.1618100E+01  dust
 11  5.4411535E-02  2  1.0573550E-01  6.0477294E+01  dust
 11  5.4411535E-02  3  1.1812006E-01  5.9107251E+01  dust
 11  5.4411535E-02  4  1.3353968E-01  5.7605038E+01  dust
 11  5.4411535E-02  5  1.5097181E-01  5.5947814E+01  dust
 11  5.4411535E-02  6  1.7067955E-01  5.3502761E+01  dust
 11  5.4411535E-02  7  1.9296000E-01  5.0748427E+01  dust
 11  5.4411535E-02  8  3.0195156E-01  4.4752988E+01  dust
 11  5.4411535E-02  9  5.8874250E-01  3.5844356E+01  dust
 11  5.4411535E-02 10  1.2118621E+00  2.6208830E+01  dust
 11  5.4411535E-02 11  2.3303096E+00  1.8443781E+01  dust
 11  5.4411535E-02 12  4.3003104E+00  1.4261921E+01  dust
 11  5.4411535E-02 13  6.2450423E+00  1.1364743E+01  dust
 11  5.4411535E-02 14  8.8527200E+00  1.2299783E+01  dust
 11  5.4411535E-02 15  1.2668311E+01  1.0844657E+01  dust
 11  5.4411535E-02 16  1.8134220E+01  1.0625086E+01  dust
 11  5.4411535E-02 17  2.5964377E+01  9.7997505E+00  dust
 11  5.4411535E-02 18  4.2233750E+01  7.1561197E+00  dust
 11  5.4411535E-02 19  8.6443439E+01  4.8155474E+00  dust
 11  5.4411535E-02 20  1.7710287E+02  3.2597912E+00  dust
 11  5.4411535E-02 21  3.6308087E+02  2.1937856E+00  dust
 11  5.4411535E-02 22  7.4469677E+02  1.4559551E+00  dust
 11  5.4411535E-02 23  1.5279094E+03  9.3973234E-01  dust
 11  5.4411535E-02 24  3.1355912E+03  5.7579498E-01  dust
 11  5.4411535E-02 25  6.4360319E+03  3.0745322E-01  dust
 12  5.5051285E-02  1  9.5842289E-02  1.0902058E+02  dust
 12  5.5051285E-02  2  1.0573550E-01  1.0700129E+02  dust
 12  5.5051285E-02  3  1.1812006E-01  1.0457628E+02  dust
 12  5.5051285E-02  4  1.3353968E-01  1.0191735E+02  dust
 12  5.5051285E-02  5  1.5097181E-01  9.8984065E+01  dust
 12  5.5051285E-02  6  1.7067955E-01  9.4656499E+01  dust
 12  5.5051285E-02  7  1.9296000E-01  8.9781800E+01  dust
 12  5.5051285E-02  8  3.0195156E-01  7.9171217E+01  dust
 12  5.5051285E-02  9  5.8874250E-01  6.3404669E+01  dust
 12  5.5051285E-02 10  1.2118621E+00  4.6353639E+01  dust
 12  5.5051285E-02 11  2.3303096E+00  3.2615117E+01  dust
 12  5.5051285E-02 12  4.3003104E+00  2.5217642E+01  dust
 12  5.5051285E-02 13  6.2450423E+00  2.0093780E+01  dust
 12  5.5051285E-02 14  8.8527200E+00  2.1749510E+01  dust
 12  5.5051285E-02 15  1.2668311E+01  1.9174643E+01  dust
 12  5.5051285E-02 16  1.8134220E+01  1.8787235E+01  dust
 12  5.5051285E-02 17  2.5964377E+01  1.7326982E+01  dust
 12  5.5051285E-02 18  4.2233750E+01  1.2652087E+01  dust
 12  5.5051285E-02 19  8.6443439E+01  8.5141168E+00  dust
 12  5.5051285E-02 20  1.7710287E+02  5.7640534E+00  dust
 12  5.5051285E-02 21  3.6308087E+02  3.8796819E+00  dust
 12  5.5051285E-02 22  7.4469677E+02  2.5752330E+00  dust
 12  5.5051285E-02 23  1.5279094E+03  1.6623819E+00  dust
 12  5.5051285E-02 24  3.1355912E+03  1.0186831E+00  dust
 12  5.5051285E-02 25  6.4360319E+03  5.4397717E-01  dust
 13  5.5751933E-02  1  9.5842289E-02  1.9271103E+02  dust
 13  5.5751933E-02  2  1.0573550E-01  1.8914041E+02  dust
 13  5.5751933E-02  3  1.1812006E-01  1.8485241E+02  dust
 13  5.5751933E-02  4  1.3353968E-01  1.8015081E+02  dust
 13  5.5751933E-02  5  1.5097181E-01  1.7496410E+02  dust
 13  5.5751933E-02  6  1.7067955E-01  1.6731220E+02  dust
 13  5.5751933E-02  7  1.9296000E-01  1.5869322E+02  dust
 13  5.5751933E-02  8  3.0195156E-01  1.3993294E+02  dust
 13  5.5751933E-02  9  5.8874250E-01  1.1205612E+02  dust
 13  5.5751933E-02 10  1.2118621E+00  8.1910664E+01  dust
 13  5.5751933E-02 11  2.3303096E+00  5.7624833E+01  dust
 13  5.5751933E-02 12  4.3003104E+00  4.4550116E+01  dust
 13  5.5751933E-02 13  6.2450423E+00  3.5495569E+01  dust
 13  5.5751933E-02 14  8.8527200E+00  3.8424655E+01  dust
 13  5.5751933E-02 15  1.2668311E+01  3.3872310E+01  dust
 13  5.5751933E-02 16  1.8134220E+01  3.3189211E+01  dust
 13  5.5751933E-02 17  2.5964377E+01  3.0607723E+01  dust
 13  5.5751933E-02 18  4.2233750E+01  2.2347579E+01  dust
 13  5.5751933E-02 19  8.6443439E+01  1.5038058E+01  dust
 13  5.5751933E-02 20  1.7710287E+02  1.0181273E+01  dust
 13  5.5751933E-02 21  3.6308087E+02  6.8536422E+00  dust
 13  5.5751933E-02 22  7.4469677E+02  4.5499602E+00  dust
 13  5.5751933E-02 23  1.5279094E+03  2.9375630E+00  dust
 13  5.5751933E-02 24  3.1355912E+03  1.8003231E+00  dust
 13  5.5751933E-02 25  6.4360319E+03  9.6146140E-01  dust
 14  5.6525275E-02  1  9.5842289E-02  3.4027391E+02  dust
 14  5.6525275E-02  2  1.0573550E-01  3.3396749E+02  dust
 14  5.6525275E-02  3  1.1812006E-01  3.2639412E+02  dust
 14  5.6525275E-02  4  1.3353968E-01  3.1809026E+02  dust
 14  5.6525275E-02  5  1.5097181E-01  3.0892964E+02  dust
 14  5.6525275E-02  6  1.7067955E-01  2.9541536E+02  dust
 14  5.6525275E-02  7  1.9296000E-01  2.8019346E+02  dust
 14  5.6525275E-02  8  3.0195156E-01  2.4706149E+02  dust
 14  5.6525275E-02  9  5.8874250E-01  1.9782850E+02  dust
 14  5.6525275E-02 10  1.2118621E+00  1.4459180E+02  dust
 14  5.6525275E-02 11  2.3303096E+00  1.0170722E+02  dust
 14  5.6525275E-02 12  4.3003104E+00  7.8622074E+01  dust
 14  5.6525275E-02 13  6.2450423E+00  6.2637448E+01  dust
 14  5.6525275E-02 14  8.8527200E+00  6.7813042E+01  dust
 14  5.6525275E-02 15  1.2668311E+01  5.9773111E+01  dust
 14  5.6525275E-02 16  1.8134220E+01  5.8569465E+01  dust
 14  5.6525275E-02 17  2.5964377E+01  5.4010506E+01  dust
 14  5.6525275E-02 18  4.2233750E+01  3.9429942E+01  dust
 14  5.6525275E-02 19  8.6443439E+01  2.6530656E+01  dust
 14  5.6525275E-02 20  1.7710287E+02  1.7961977E+01  dust
 14  5.6525275E-02 21  3.6308087E+02  1.2092149E+01  dust
 14  5.6525275E-02 22  7.4469677E+02  8.0286960E+00  dust
 14  5.6525275E-02 23  1.5279094E+03  5.1843061E+00  dust
 14  5.6525275E-02 24  3.1355912E+03  3.1777278E+00  dust
 14  5.6525275E-02 25  6.4360319E+03  1.6972564E+00  dust
 15  5.7386789E-02  1  9.5842289E-02  6.0003641E+02  dust
 15  5.7386789E-02  2  1.0573550E-01  5.8891340E+02  dust
 15  5.7386789E-02  3  1.1812006E-01  5.7555587E+02  dust
 15  5.7386789E-02  4  1.3353968E-01  5.6090996E+02  dust
 15  5.7386789E-02  5  1.5097181E-01  5.4475298E+02  dust
 15  5.7386789E-02  6  1.7067955E-01  5.2091754E+02  dust
 15  5.7386789E-02  7  1.9296000E-01  4.9407083E+02  dust
 15  5.7386789E-02  8  3.0195156E-01  4.3563671E+02  dust
 15  5.7386789E-02  9  5.8874250E-01  3.4880473E+02  dust
 15  5.7386789E-02 10  1.2118621E+00  2.5491480E+02  dust
 15  5.7386789E-02 11  2.3303096E+00  1.7928708E+02  dust
 15  5.7386789E-02 12  4.3003104E+00  1.3857919E+02  dust
 15  5.7386789E-02 13  6.2450423E+00  1.1039545E+02  dust
 15  5.7386789E-02 14  8.8527200E+00  1.1952743E+02  dust
 15  5.7386789E-02 15  1.2668311E+01  1.0534675E+02  dust
 15  5.7386789E-02 16  1.8134220E+01  1.0322775E+02  dust
